P40509,COPE_YEAST,YIL076W,Coatomer subunit epsilon,SEC28,ANU2
Q06685,VIP1_YEAST,YLR410W,Cortical actin cytoskeleton protein VIP1,VIP1,
Q06686,CTR3_YEAST,YLR411W,Copper transport protein CTR3,CTR3,
Q06697,CDC73_YEAST,YLR418C,Cell division control protein 73,CDC73,
P20051,PYRC_YEAST,YLR420W,Dihydroorotase,URA4,
Q06436,MAG2_YEAST,YLR427W,RING-finger protein MAG2,MAG2,
Q06440,CORO_YEAST,YLR429W,Coronin-like protein,CRN1,
P50095,IMDH3_YEAST,YLR432W,Probable inosine-5'-monophosphate dehydrogenase IMD3,IMD3,
Q06672,TSR2_YEAST,YLR435W,Pre-rRNA-processing protein TSR2,TSR2,
Q06673,ECM30_YEAST,YLR436C,Extracellular matrix protein 30,ECM30,
Q06078,YL409_YEAST,YLR409C,WD repeat protein YLR409C,UTP21,
P12684,HMDH2_YEAST,YLR450W,3-hydroxy-3-methylglutaryl-coenzyme A reductase 2,HMG2,
P08638,LEUR_YEAST,YLR451W,Regulatory protein LEU3,LEU3,
P11972,SST2_YEAST,YLR452C,Protein SST2,SST2,
Q06208,RIF2_YEAST,YLR453C,Protein RIF2,RIF2,
Q06179,FMP27_YEAST,YLR454W,Protein FMP27, mitochondrial precursor,FMP27,
P52919,NBP1_YEAST,YLR457C,NAP1-binding protein,NBP1,
P53427,PAU4_YEAST,YLR461W,Seripauperin-4,PAU4,
P50107,LGUL_YEAST,YML004C,Lactoylglutathione lyase,GLO1,
Q04233,GIS4_YEAST,YML006C,Protein GIS4,GIS4,
P36533,RM39_YEAST,YML009C,Mitochondrial 60S ribosomal protein L39,MRPL39,
P27692,SPT5_YEAST,YML010W,Transcription elongation factor SPT5,SPT5,
Q04231,RAD33_YEAST,YML011C,DNA repair protein RAD33,RAD33,
P54837,ERV25_YEAST,YML012W,Endoplasmic reticulum vesicle protein 25 precursor,ERV25,
P49957,TRM9_YEAST,YML014W,tRNA (uracil-5-)-methyltransferase TRM9,TRM9,
P26570,PPZ1_YEAST,YML016C,Serine/threonine-protein phosphatase PP-Z1,PPZ1,
Q03723,OST6_YEAST,YML019W,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST6,OST6,
P12887,UNG_YEAST,YML021C,Uracil-DNA glycosylase, mitochondrial precursor,UNG1,
P49435,APT1_YEAST,YML022W,Adenine phosphoribosyltransferase 1,APT1,
Q03718,NSE5_YEAST,YML023C,Non-structural maintenance of chromosome element 5,NSE5,
P51998,RL4P_YEAST,YML025C,60S ribosomal protein YmL6, mitochondrial precursor,YML6,
P35271,RS18_YEAST,YDR450W,40S ribosomal protein S18,RPS18A,
P35271,RS18_YEAST,YML026C,40S ribosomal protein S18,RPS18B,
P34161,YOX1_YEAST,YML027W,Homeobox protein YOX1,YOX1,
Q03714,USA1_YEAST,YML029W,U1 SNP1-associating protein 1,USA1,
P32500,NDC1_YEAST,YML031W,Nucleoporin NDC1,NDC1,
P06778,RAD52_YEAST,YML032C,DNA repair and recombination protein RAD52,RAD52,
Q03705,YMD6_YEAST,YML036W,Protein CGI121,CGI121,
Q04712,RRN11_YEAST,YML043C,RNA polymerase I-specific transcription initiation factor RRN11,RRN11,
P39682,PRP39_YEAST,YML046W,Pre-mRNA-processing factor 39,PRP39,
Q04705,PRM6_YEAST,YML047C,Pheromone-regulated membrane protein 6,PRM6,
P04387,GAL80_YEAST,YML051W,Galactose/lactose metabolism regulatory protein GAL80,GAL80,
P54003,SUR7_YEAST,YML052W,Protein SUR7,SUR7,
P00175,CYB2_YEAST,YML054C,Cytochrome b2, mitochondrial precursor,CYB2,
Q04638,ITT1_YEAST,YML068W,Translation termination inhibitor protein ITT1,ITT1,
Q04636,POB3_YEAST,YML069W,FACT complex subunit POB3,POB3,
P54838,DAK1_YEAST,YML070W,Dihydroxyacetone kinase 1,DAK1,
Q03640,TCB3_YEAST,YML072C,Tricalbin-3,TCB3,
P12683,HMDH1_YEAST,YML075C,3-hydroxy-3-methylglutaryl-coenzyme A reductase 1,HMG1,
Q03630,BET5_YEAST,YML077W,Transport protein particle 18 kDa subunit,BET5,
P53759,DUS1_YEAST,YML080W,tRNA-dihydrouridine synthase 1,DUS1,
P81450,ATP18_YEAST,YML081C-A,ATP synthase J chain, mitochondrial,ATP18,
P09733,TBA1_YEAST,YML085C,Tubulin alpha-1 chain,TUB1,
P54783,ALO_YEAST,YML086C,D-arabinono-1,4-lactone oxidase,ALO1,
Q04511,UFO1_YEAST,YML088W,Ubiquitin ligase complex F-box protein UFO1,UFO1,
Q02773,RPM2_YEAST,YML091C,Ribonuclease P protein component, mitochondrial precursor,RPM2,
Q04500,UTP14_YEAST,YML093W,U3 small nucleolar RNA-associated protein 14,UTP14,
P06838,RAD10_YEAST,YML095C,DNA repair protein RAD10,RAD10,
P38427,TSL1_YEAST,YML100W,Trehalose synthase complex regulatory subunit TSL1,TSL1,
Q04199,CAC2_YEAST,YML102W,Chromatin assembly factor 1 subunit p60,CAC2,
P52593,NU188_YEAST,YML103C,Nucleoporin NUP188,NUP188,
Q01846,MDM1_YEAST,YML104C,Structural protein MDM1,MDM1,
P29478,SEC65_YEAST,YML105C,Signal recognition particle subunit SEC65,SEC65,
Q03760,PML39_YEAST,YML107C,Pre-mRNA leakage protein 39,PML39,
P46963,CTK3_YEAST,YML112W,CTD kinase subunit gamma,CTK3,
Q03210,NGL3_YEAST,YML118W,Probable RNA exonuclease NGL3,NGL3,
P32340,NDI1_YEAST,YML120C,Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial precursor,NDI1,
Q00582,GTR1_YEAST,YML121W,GTP-binding protein GTR1,GTR1,
P25297,PHO84_YEAST,YML123C,Inorganic phosphate transporter PHO84,PHO84,
P09734,TBA3_YEAST,YML124C,Tubulin alpha-3 chain,TUB3,
P39105,PLB1_YEAST,YMR008C,Lysophospholipase 1 precursor,PLB1,
Q03677,MTND_YEAST,YMR009W,Probable 1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase,ADI1,
P23585,HXT2_YEAST,YMR011W,High-affinity glucose transporter HXT2,HXT2,
P20048,SEC59_YEAST,YMR013C,Dolichol kinase,SEC59,
Q04347,BUD22_YEAST,YMR014W,Bud site selection protein 22,BUD22,
P53438,SOK2_YEAST,YMR016C,Protein SOK2,SOK2,
P50104,STB4_YEAST,YMR019W,Probable transcriptional regulatory protein STB4,STB4,
P50264,FMS1_YEAST,YMR020W,Polyamine oxidase FMS1,FMS1,
P36516,RM03_YEAST,YMR024W,60S ribosomal protein L3, mitochondrial precursor,MRPL3,
Q04368,CSI1_YEAST,YMR025W,Cop9 signalosome-interactor 1,CSI1,
Q04372,TAP42_YEAST,YMR028W,Type 2A phosphatase-associated protein 42,TAP42,
Q05040,FAR8_YEAST,YMR029C,Factor arrest protein 8,FAR8,
P46972,IMP2_YEAST,YMR035W,Mitochondrial inner membrane protease subunit 2,IMP2,
P23748,MPIP_YEAST,YMR036C,M-phase inducer phosphatase,MIH1,
P33748,MSN2_YEAST,YMR037C,Zinc finger protein MSN2,MSN2,
Q04210,YET2_YEAST,YMR040W,Endoplasmic reticulum transmembrane protein 2,YET2,
Q04213,IOC4_YEAST,YMR044W,ISWI one complex protein 4,IOC4,
Q04660,ERB1_YEAST,YMR049C,Eukaryotic ribosome biogenesis protein 1,ERB1,
P46671,FAR3_YEAST,YMR052W,Factor arrest protein 3,FAR3,
P46679,STB2_YEAST,YMR053C,Protein STB2,STB2,
P37296,STV1_YEAST,YMR054W,Vacuolar ATP synthase subunit a, Golgi isoform,STV1,
P04710,ADT1_YEAST,YMR056C,ADP,ATP carrier protein 1,AAC1,
P38993,FET3_YEAST,YMR058W,Iron transport multicopper oxidase FET3 precursor,FET3,
Q04675,SEN15_YEAST,YMR059W,tRNA-splicing endonuclease subunit SEN15,SEN15,
P25298,RNA14_YEAST,YMR061W,mRNA 3'-end-processing protein RNA14,RNA14,
Q04734,PALI_YEAST,YMR063W,pH-response regulator protein palI/RIM9,RIM9,
Q03175,SRT1_YEAST,YMR101C,Putative dehydrodolichyl diphosphate synthetase,SRT1,
P54074,ASI1_YEAST,YMR119W,Protein ASI1,ASI1,
P38009,PUR92_YEAST,YMR120C,Bifunctional purine biosynthesis protein ADE17,ADE17,
Q03880,PKR1_YEAST,YMR123W,V-type ATPase assembly factor PKR1,PKR1,
P39685,PO152_YEAST,YMR129W,Nucleoporin POM152,POM152,
Q04225,RRB1_YEAST,YMR131C,Ribosome assembly protein RRB1,RRB1,
P32841,RE114_YEAST,YMR133W,Meiotic recombination protein REC114,REC114,
P40209,GAT2_YEAST,YMR136W,Protein GAT2,GAT2,
Q04338,VTI1_YEAST,YMR197C,t-SNARE VTI1,VTI1,
Q01649,CIK1_YEAST,YMR198W,Spindle pole body-associated protein CIK1,CIK1,
P20437,CG11_YEAST,YMR199W,G1/S-specific cyclin CLN1,CLN1,
P28519,RAD14_YEAST,YMR201C,DNA repair protein RAD14,RAD14,
P16862,K6PF2_YEAST,YMR205C,6-phosphofructokinase subunit beta,PFK2,
P32874,HFA1_YEAST,YMR207C,Acetyl-CoA carboxylase, mitochondrial precursor,HFA1,
Q03653,EFR3_YEAST,YMR212C,Protein EFR3,EFR3,
P25303,SCJ1_YEAST,YMR214W,DnaJ-related protein SCJ1 precursor,SCJ1,
Q03655,GAS3_YEAST,YMR215W,Glycolipid-anchored surface protein 3 precursor,GAS3,
Q03656,SKY1_YEAST,YMR216C,Serine/threonine-protein kinase SKY1,SKY1,
P38625,GUAA_YEAST,YMR217W,GMP synthase [glutamine-hydrolyzing],GUA1,
Q02555,RNT1_YEAST,YMR239C,Ribonuclease III,RNT1,
Q02554,CUS1_YEAST,YMR240C,Protein CUS1,CUS1,
Q04013,YHM2_YEAST,YMR241W,Mitochondrial DNA replication protein YHM2,YHM2,
P47912,LCF4_YEAST,YMR246W,Long-chain-fatty-acid--CoA ligase 4,FAA4,
Q04792,DCE_YEAST,YMR250W,Glutamate decarboxylase,GAD1,
Q05827,HOR7_YEAST,YMR251W-A,Protein HOR7 precursor,HOR7,
Q04839,GFD1_YEAST,YMR255W,mRNA transport factor GFD1,GFD1,
P10174,COX7_YEAST,YMR256C,Cytochrome c oxidase subunit 7,COX7,
P08468,PT111_YEAST,YMR257C,Protein PET111, mitochondrial precursor,PET111,
P38912,IF1A_YEAST,YMR260C,Eukaryotic translation initiation factor 1A,TIF11,
P38426,TPS3_YEAST,YMR261C,Trehalose synthase complex regulatory subunit TPS3,TPS3,
P38429,SAP30_YEAST,YMR263W,Transcriptional regulatory protein SAP30,SAP30,
P49960,PRP24_YEAST,YMR268C,U4/U6 snRNA-associated-splicing factor PRP24,PRP24,
P53437,RRN9_YEAST,YMR270C,RNA polymerase I-specific transcription initiation factor RRN9,RRN9,
P30402,PYRX_YEAST,YMR271C,Orotate phosphoribosyltransferase 2,URA10,
Q03530,RCE1_YEAST,YMR274C,CAAX prenyl protease 2,RCE1,
Q03254,FCP1_YEAST,YMR277W,RNA polymerase II subunit A C-terminal domain phosphatase,FCP1,
P23797,GPI12_YEAST,YMR281W,N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase,GPI12,
P23796,RIT1_YEAST,YMR283C,tRNA A64-2'-O-ribosylphosphate transferase,RIT1,
Q03264,NGL2_YEAST,YMR285C,RNA exonuclease NGL2,NGL2,
P20084,RM33_YEAST,YMR286W,Mitochondrial 60S ribosomal protein L33,MRPL33,
P49955,SF3B1_YEAST,YMR288W,U2 snRNP component HSH155,HSH155,
Q03532,HAS1_YEAST,YMR290C,ATP-dependent RNA helicase HAS1,HAS1,
P41818,GLC8_YEAST,YMR311C,Protein GLC8,GLC8,
P40308,TGL3_YEAST,YMR313C,Lipase 3,TGL3,
P40302,PSA1_YEAST,YMR314W,Proteasome component PRE5,PRE5,
P40988,FET4_YEAST,YMR319C,Low-affinity Fe(II) transport protein,FET4,
P33309,DOM34_YEAST,YNL001W,Protein DOM34,DOM34,
P41318,LST8_YEAST,YNL006W,Target of rapamycin complex subunit LST8,LST8,
P25294,SIS1_YEAST,YNL007C,Protein SIS1,SIS1,
P53983,ASI3_YEAST,YNL008C,Protein ASI3,ASI3,
P53982,IDHH_YEAST,YNL009W,Isocitrate dehydrogenase [NADP],IDP3,
P53541,SPO1_YEAST,YNL012W,Putative meiotic phospholipase SPO1,SPO1,
P53974,ARK1_YEAST,YNL020C,Actin-regulating kinase 1,ARK1,
P53973,HDA1_YEAST,YNL021W,Histone deacetylase HDA1,HDA1,
P53966,KTR5_YEAST,YNL029C,Probable mannosyltransferase KTR5,KTR5,
P02309,H4_YEAST,YBR009C,Histone H4,HHF1,
P02309,H4_YEAST,YNL030W,Histone H4,HHF2,
P28834,IDH1_YEAST,YNL037C,Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial precursor,IDH1,
P53961,GPI15_YEAST,YNL038W,Phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI15,GPI15,
P53954,ALG11_YEAST,YNL048W,Alpha-1,2-mannosyltransferase ALG11,ALG11,
P00424,COX5A_YEAST,YNL052W,Cytochrome c oxidase polypeptide Va, mitochondrial precursor,COX5A,
P48231,TCB2_YEAST,YNL087W,Tricalbin-2,TCB2,
P06781,RHO2_YEAST,YNL090W,Protein RHO2,RHO2,
P36019,YPT53_YEAST,YNL093W,GTP-binding protein YPT53,YPT53,
P53933,APP1_YEAST,YNL094W,Actin patch protein 1,APP1,
P48164,RS7B_YEAST,YNL096C,40S ribosomal protein S7-B,RPS7B,
P50947,PHO23_YEAST,YNL097C,Transcriptional regulatory protein PHO23,PHO23,
P50944,AVT4_YEAST,YNL101W,Vacuolar amino acid transporter 4,AVT4,
P32389,MET4_YEAST,YNL103W,Transcriptional activator of sulfur metabolism MET4,MET4,
P06208,LEU1_YEAST,YNL104C,2-isopropylmalate synthase,LEU4,
P53930,AF9_YEAST,YNL107W,Protein AF-9 homolog,YAF9,
P40312,CYB5_YEAST,YNL111C,Cytochrome b5,CYB5,
P24783,DBP2_YEAST,YNL112W,ATP-dependent RNA helicase DBP2,DBP2,
P28000,RPC19_YEAST,YNL113W,DNA-directed RNA polymerases I and III 16 kDa polypeptide,RPC19,
P30952,MASY_YEAST,YNL117W,Malate synthase 1, glyoxysomal,MLS1,
P53540,SPC98_YEAST,YNL126W,Spindle pole body component SPC98,SPC98,
P53917,FAR11_YEAST,YNL127W,Factor arrest protein 11,FAR11,
P53916,TEP1_YEAST,YNL128W,Probable phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase TEP1,TEP1,
P39006,PSD1_YEAST,YNL169C,Phosphatidylserine decarboxylase proenzyme 1, mitochondrial precursor,PSD1,
P53885,MDG1_YEAST,YNL173C,Signal transduction protein MDG1,MDG1,
P53883,NOP13_YEAST,YNL175C,Nucleolar protein 13,NOP13,
P53881,RM22_YEAST,YNL177C,60S ribosomal protein L22, mitochondrial precursor,MRPL22,
P53879,RHO5_YEAST,YNL180C,Protein RHO5,RHO5,
P22211,NPR1_YEAST,YNL183C,Nitrogen permease reactivator protein,NPR1,
P53875,RM19_YEAST,YNL185C,60S ribosomal protein L19, mitochondrial precursor,MRPL19,
P11927,KAR1_YEAST,YNL188W,Cell division control protein KAR1,KAR1,
P34761,WHI3_YEAST,YNL197C,Protein WHI3,WHI3,
Q01722,GCR2_YEAST,YNL199C,Glycolytic genes transcriptional activator GCR2,GCR2,
P40164,PP4R3_YEAST,YNL201C,Serine/threonine-protein phosphatase 4 regulatory subunit 3,PSY2,
P40160,RIO2_YEAST,YNL207W,Serine/threonine-protein kinase RIO2,RIO2,
P16523,MER1_YEAST,YNL210W,Meiotic recombination 1 protein,MER1,
P40157,VID27_YEAST,YNL212W,Vacuolar import and degradation protein 27,VID27,
P40154,IES2_YEAST,YNL215W,Ino eighty subunit 2,IES2,
P40151,MGS1_YEAST,YNL218W,DNA-dependent ATPase MGS1,MGS1,
P53584,YTP1_YEAST,YNL237W,Protein YTP1,YTP1,
P23503,NAR1_YEAST,YNL240C,Nuclear architecture-related protein 1,NAR1,
P53854,CWC25_YEAST,YNL245C,Pre-mRNA-splicing factor CWC25,CWC25,
P53853,VPS75_YEAST,YNL246W,Vacuolar protein sorting-associated protein 75,VPS75,
P53583,MPA43_YEAST,YNL249C,Protein MPA43,MPA43,
P12753,RAD50_YEAST,YNL250W,DNA repair protein RAD50,RAD50,
P53617,NRD1_YEAST,YNL251C,Protein NRD1,NRD1,
P53851,TEX1_YEAST,YNL253W,Protein TEX1,TEX1,
P53849,GIS2_YEAST,YNL255C,Zinc-finger protein GIS2,GIS2,
P53848,FAS_YEAST,YNL256W,Folic acid synthesis protein FOL1,FOL1,
P38717,SIP3_YEAST,YNL257C,Protein SIP3,SIP3,
P53847,DSL1_YEAST,YNL258C,Protein transport protein DSL1,DSL1,
P38636,ATX1_YEAST,YNL259C,Metal homeostasis factor ATX1,ATX1,
P50874,ORC5_YEAST,YNL261W,Origin recognition complex subunit 5,ORC5,
P53845,YIF1_YEAST,YNL263C,Protein transport protein YIF1,YIF1,
P53843,IST1_YEAST,YNL265C,Increased sodium tolerance protein 1,IST1,
P32487,LYP1_YEAST,YNL268W,Lysine-specific permease,LYP1,
P53841,BSC4_YEAST,YNL269W,Bypass of stop codon protein 4,BSC4,
P17065,SEC2_YEAST,YNL272C,Rab guanine nucleotide exchange factor SEC2,SEC2,
P53840,TOF1_YEAST,YNL273W,Topoisomerase 1-associated factor 1,TOF1,
P08465,MET2_YEAST,YNL277W,Homoserine O-acetyltransferase,MET2,
P32462,ERG24_YEAST,YNL280C,Delta(14)-sterol reductase,ERG24,
P53834,HCH1_YEAST,YNL281W,Hsp90 co-chaperone HCH1,HCH1,
P53833,POP3_YEAST,YNL282W,Ribonucleases P/MRP protein subunit POP3,POP3,
P32074,COPG_YEAST,YNL287W,Coatomer subunit gamma,SEC21,
P53829,CAF40_YEAST,YNL288W,Protein CAF40,CAF40,
P38629,RFC3_YEAST,YNL290W,Replication factor C subunit 3,RFC3,
P42837,FIG4_YEAST,YNL325C,Polyphosphoinositide phosphatase,FIG4,
P42836,PFA3_YEAST,YNL326C,Palmitoyltransferase PFA3,PFA3,
P42835,EGT2_YEAST,YNL327W,Protein EGT2 precursor,EGT2,
P42834,MDJ2_YEAST,YNL328C,Mitochondrial DnaJ homolog 2,MDJ2,
P42884,AAD14_YEAST,YNL331C,Putative aryl-alcohol dehydrogenase AAD14,AAD14,
P42883,THI12_YEAST,YNL332W,Pyrimidine precursor biosynthesis enzyme THI12,THI12,
P53824,SNZ2_YEAST,YNL333W,Probable pyridoxine biosynthesis protein SNZ2,SNZ2,
P53823,SNO2_YEAST,YNL334C,Probable glutamine amidotransferase SNO2,SNO2,
P53822,COS1_YEAST,YNL336W,Protein COS1,COS1,
P32910,RPC6_YEAST,YNR003C,DNA-directed RNA polymerase III 36 kDa polypeptide,RPC34,
P40345,PDAT_YEAST,YNR008W,Phospholipid:diacylglycerol acyltransferase,LRO1,
P27515,URK1_YEAST,YNR012W,Uridine kinase,URK1,
P53724,RM50_YEAST,YNR022C,60S ribosomal protein L50, mitochondrial precursor,MRPL50,
P53727,BUD17_YEAST,YNR027W,Bud site selection protein 17,BUD17,
P53728,CYP8_YEAST,YNR028W,Peptidyl-prolyl cis-trans isomerase CYP8,CPR8,
P53599,SSK2_YEAST,YNR031C,MAP kinase kinase kinase SSK2,SSK2,
P50278,SOL1_YEAST,YNR034W,Probable 6-phosphogluconolactonase 1,SOL1,
P53733,RT19_YEAST,YNR037C,Mitochondrial ribosomal protein S19,RSM19,
P53734,DBP6_YEAST,YNR038W,ATP-dependent RNA helicase DBP6,DBP6,
P53735,ZRG17_YEAST,YNR039C,Protein ZRG17,ZRG17,
P32378,COQ2_YEAST,YNR041C,Para-hydroxybenzoate--polyprenyltransferase, mitochondrial precursor,COQ2,
P32323,AGA1_YEAST,YNR044W,A-agglutinin anchorage subunit precursor,AGA1,
P07390,PT494_YEAST,YNR045W,COX3 mRNA-specific translational activator PET494,PET494,
P53738,TR112_YEAST,YNR046W,Protein TRM112,TRM112,
P53604,MSO1_YEAST,YNR049C,Protein MSO1,MSO1,
P53741,BRE5_YEAST,YNR051C,UBP3-associated protein BRE5,BRE5,
P53742,NOG2_YEAST,YNR053C,Nucleolar GTP-binding protein 2,NOG2,
P53389,HOL1_YEAST,YNR055C,Protein HOL1,HOL1,
P53744,BIO5_YEAST,YNR056C,7-keto 8-aminopelargonic acid transporter,BIO5,
P53630,BIOD_YEAST,YNR057C,Dethiobiotin synthetase,BIO4,
P50277,BIOA_YEAST,YNR058W,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,BIO3,
P53745,MNT4_YEAST,YNR059W,Probable alpha-1,3-mannosyltransferase MNT4,MNT4,
P53746,FRE4_YEAST,YNR060W,Ferric reductase transmembrane component 4 precursor,FRE4,
P53755,BSC5_YEAST,YNR069C,Bypass of stop codon protein 5,BSC5,
P53631,HXT17_YEAST,YNR072W,Hexose transporter HXT17,HXT17,
P52924,COS10_YEAST,YNR075W,Protein COS10,COS10,
P52921,PAU6_YEAST,YLL064C,Seripauperin-6/18,PAU18,
P52921,PAU6_YEAST,YNR076W,Seripauperin-6/18,PAU6,
Q12006,PFA4_YEAST,YOL003C,Palmitoyltransferase PFA4,PFA4,
P38902,RPB11_YEAST,YOL005C,DNA-directed RNA polymerase II 13.6 kDa polypeptide,RPB11,
Q08054,CSI2_YEAST,YOL007C,Chitin synthase 3 complex protein CSI2,CSI2,
Q08058,COQ10_YEAST,YOL008W,Coenzyme Q-binding protein COQ10, mitochondrial precursor,COQ10,
Q92328,MDM12_YEAST,YOL009C,Mitochondrial inheritance component MDM12,MDM12,
Q08108,PLB3_YEAST,YOL011W,Lysophospholipase 3 precursor,PLB3,
Q08118,IRC10_YEAST,YOL015W,Uncharacterized protein IRC10,IRC10,
P22517,KCC2_YEAST,YOL016C,Calcium/calmodulin-dependent protein kinase II,CMK2,
Q08119,ESC8_YEAST,YOL017W,Protein ESC8,ESC8,
Q08144,TLG2_YEAST,YOL018C,T-SNARE affecting a late Golgi compartment protein 2,TLG2,
P25038,IF2M_YEAST,YOL023W,Translation initiation factor IF-2, mitochondrial precursor,IFM1,
Q08182,YAP7_YEAST,YOL028C,AP-1-like transcription factor YAP7,YAP7,
Q08193,GAS5_YEAST,YOL030W,Glycolipid-anchored surface protein 5 precursor,GAS5,
Q08202,OPI10_YEAST,YOL032W,Protein OPI10,OPI10,
P48525,SYEM_YEAST,YOL033W,Glutamyl-tRNA synthetase, mitochondrial,MSE1,
Q08204,SMC5_YEAST,YOL034W,Structural maintenance of chromosomes protein 5,SMC5,
P40303,PSA7_YEAST,YOL038W,Proteasome component PRE6,PRE6,
P21182,DCAM_YEAST,YOL052C,S-adenosylmethionine decarboxylase proenzyme,SPE2,
Q12161,PSH1_YEAST,YOL054W,RING finger protein PSH1,PSH1,
Q08224,THI20_YEAST,YOL055C,Phosphomethylpyrimidine kinase THI20,THI20,
Q12326,PMG3_YEAST,YOL056W,Phosphoglycerate mutase 3,GPM3,
Q12296,MAM3_YEAST,YOL060C,Protein MAM3,MAM3,
Q08227,INP54_YEAST,YOL065C,Inositol-1,4,5-trisphosphate 5-phosphatase 4,INP54,
P32607,RTG1_YEAST,YOL067C,Retrograde regulation protein 1,RTG1,
P53685,HST1_YEAST,YOL068C,NAD-dependent deacetylase HST1,HST1,
P33895,NUF2_YEAST,YOL069W,Kinetochore protein NUF2,NUF2,
Q08230,EMI5_YEAST,YOL071W,Early meiotic induction protein 5, mitochondrial precursor,EMI5,
Q08235,BRX1_YEAST,YOL077C,Ribosome biogenesis protein BRX1,BRX1,
P81451,ATP19_YEAST,YOL077W-A,ATP synthase K chain, mitochondrial,ATP19,
Q08236,AVO1_YEAST,YOL078W,Target of rapamycin complex 2 subunit AVO1,AVO1,
Q08237,REXO4_YEAST,YOL080C,RNA exonuclease 4,REX4,
Q12252,PHM7_YEAST,YOL084W,Phosphate metabolism protein 7,PHM7,
Q99316,MPD2_YEAST,YOL088C,Protein disulfide isomerase MPD2 precursor,MPD2,
Q12180,HAL9_YEAST,YOL089C,Halotolerance protein 9,HAL9,
Q12400,TRM10_YEAST,YOL093W,tRNA (guanine-N(1)-)-methyltransferase TRM10,TRM10,
P40339,RFC4_YEAST,YOL094C,Replication factor C subunit 4,RFC4,
Q12039,HMI1_YEAST,YOL095C,ATP-dependent DNA helicase HMI1, mitochondrial precursor,HMI1,
P27680,COQ3_YEAST,YOL096C,Hexaprenyldihydroxybenzoate methyltransferase, mitochondrial precursor,COQ3,
Q99393,IZH4_YEAST,YOL101C,ADIPOR-like receptor IZH4,IZH4,
Q12272,TPT1_YEAST,YOL102C,tRNA 2'phosphotransferase,TPT1,
Q12215,WSC3_YEAST,YOL105C,Cell wall integrity and stress response component 3 precursor,WSC3,
P13902,INO4_YEAST,YOL108C,Protein INO4,INO4,
Q08245,ZEO1_YEAST,YOL109W,Protein ZEO1,ZEO1,
Q12317,MSB4_YEAST,YOL112W,GTPase-activating protein MSB4,MSB4,
Q12469,SKM1_YEAST,YOL113W,Serine/threonine-protein kinase SKM1,SKM1,
P22133,MDHC_YEAST,YOL126C,Malate dehydrogenase, cytoplasmic,MDH2,
P04456,RL25_YEAST,YOL127W,60S ribosomal protein L25,RPL25,
Q12016,VPS68_YEAST,YOL129W,Vacuolar protein sorting-associated protein 68,VPS68,
Q08271,GAS4_YEAST,YOL132W,Glycolipid-anchored surface protein 4 precursor,GAS4,
Q08278,MED7_YEAST,YOL135C,RNA polymerase II mediator complex subunit 7,MED7,
Q12471,6P22_YEAST,YOL136C,6-phosphofructo-2-kinase 2,PFK27,
Q08280,BSC6_YEAST,YOL137W,Bypass of stop codon protein 6,BSC6,
P18544,ARGD_YEAST,YOL140W,Acetylornithine aminotransferase, mitochondrial precursor,ARG8,
Q08285,RRP40_YEAST,YOL142W,Exosome complex exonuclease RRP40,RRP40,
P50861,RIB4_YEAST,YOL143C,6,7-dimethyl-8-ribityllumazine synthase,RIB4,
Q08287,NOP8_YEAST,YOL144W,60S ribosome subunit biogenesis protein NOP8,NOP8,
Q12146,PSF3_YEAST,YOL146W,DNA replication complex GINS protein PSF1,PSF3,
Q12517,DCP1_YEAST,YOL149W,mRNA decapping enzyme subunit 1,DCP1,
Q12068,GRE2_YEAST,YOL151W,NADPH-dependent methylglyoxal reductase GRE2,GRE2,
Q12333,FRE7_YEAST,YOL152W,Ferric reductase transmembrane component 7,FRE7,
Q12512,ZPS1_YEAST,YOL154W,Protein ZPS1 precursor,ZPS1,
Q05164,HPF1_YEAST,YOL155C,Haze protective factor 1 precursor,HPF1,
Q08347,BDS1_YEAST,YOL164W,Alkyl/aryl-sulfatase BDS1,BDS1,
Q08361,AAD15_YEAST,YOL165C,Putative aryl-alcohol dehydrogenase AAD15,AAD15,
Q12001,ALG6_YEAST,YOR002W,Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase,ALG6,
P25036,YSP3_YEAST,YOR003W,Subtilisin-like protease 3 precursor,YSP3,
Q12339,UTP23_YEAST,YOR004W,rRNA-processing protein UTP23,UTP23,
Q12118,SGT2_YEAST,YOR007C,Small glutamine-rich tetratricopeptide repeat-containing protein 2,SGT2,
Q12218,TIR4_YEAST,YOR009W,Cell wall protein TIR4 precursor,TIR4,
Q08409,AUS1_YEAST,YOR011W,ATP-dependent permease AUS1,AUS1,
Q12450,ERP4_YEAST,YOR016C,Protein ERP4 precursor,ERP4,
P32606,PT127_YEAST,YOR017W,Putative mitochondrial translation system component PET127,PET127,
Q02805,ROD1_YEAST,YOR018W,Protein ROD1,ROD1,
Q12433,AHC1_YEAST,YOR023C,Protein AHC1,AHC1,
